Lista de indices Diarios da TaxaSelic;20060102;20180329;
Data;Taxa (%a.a.);Fator diário;Base de cálculo (R$);Média;Mediana;Moda;Desvio padrão;Índice de curtose;
07/11/2006;13,69;1,00050928;0,00;0,00;0,00;0,00;0,00;0,00;
08/11/2006;13,69;1,00050928;0,00;0,00;0,00;0,00;0,00;0,00;
09/11/2006;13,68;1,00050893;0,00;0,00;0,00;0,00;0,00;0,00;
10/11/2006;13,66;1,00050823;0,00;0,00;0,00;0,00;0,00;0,00;
13/11/2006;13,68;1,00050893;0,00;0,00;0,00;0,00;0,00;0,00;
14/11/2006;13,67;1,00050858;0,00;0,00;0,00;0,00;0,00;0,00;
16/11/2006;13,66;1,00050823;0,00;0,00;0,00;0,00;0,00;0,00;
17/11/2006;13,66;1,00050823;0,00;0,00;0,00;0,00;0,00;0,00;
20/11/2006;13,68;1,00050893;0,00;0,00;0,00;0,00;0,00;0,00;
21/11/2006;13,68;1,00050893;0,00;0,00;0,00;0,00;0,00;0,00;
22/11/2006;13,66;1,00050823;0,00;0,00;0,00;0,00;0,00;0,00;
23/11/2006;13,67;1,00050858;0,00;0,00;0,00;0,00;0,00;0,00;
24/11/2006;13,66;1,00050823;0,00;0,00;0,00;0,00;0,00;0,00;
27/11/2006;13,66;1,00050823;0,00;0,00;0,00;0,00;0,00;0,00;
28/11/2006;13,68;1,00050893;0,00;0,00;0,00;0,00;0,00;0,00;
29/11/2006;13,68;1,00050893;0,00;0,00;0,00;0,00;0,00;0,00;
30/11/2006;13,18;1,00049143;0,00;0,00;0,00;0,00;0,00;0,00;
01/12/2006;13,18;1,00049143;0,00;0,00;0,00;0,00;0,00;0,00;
04/12/2006;13,18;1,00049143;0,00;0,00;0,00;0,00;0,00;0,00;
05/12/2006;13,19;1,00049178;0,00;0,00;0,00;0,00;0,00;0,00;
06/12/2006;13,18;1,00049143;0,00;0,00;0,00;0,00;0,00;0,00;
07/12/2006;13,18;1,00049143;0,00;0,00;0,00;0,00;0,00;0,00;
08/12/2006;13,18;1,00049143;0,00;0,00;0,00;0,00;0,00;0,00;
11/12/2006;13,19;1,00049178;0,00;0,00;0,00;0,00;0,00;0,00;
12/12/2006;13,18;1,00049143;0,00;0,00;0,00;0,00;0,00;0,00;
13/12/2006;13,19;1,00049178;0,00;0,00;0,00;0,00;0,00;0,00;
14/12/2006;13,19;1,00049178;0,00;0,00;0,00;0,00;0,00;0,00;
15/12/2006;13,18;1,00049143;0,00;0,00;0,00;0,00;0,00;0,00;
18/12/2006;13,19;1,00049178;0,00;0,00;0,00;0,00;0,00;0,00;
19/12/2006;13,19;1,00049178;0,00;0,00;0,00;0,00;0,00;0,00;
20/12/2006;13,19;1,00049178;0,00;0,00;0,00;0,00;0,00;0,00;
21/12/2006;13,19;1,00049178;0,00;0,00;0,00;0,00;0,00;0,00;
22/12/2006;13,19;1,00049178;0,00;0,00;0,00;0,00;0,00;0,00;
26/12/2006;13,19;1,00049178;0,00;0,00;0,00;0,00;0,00;0,00;
27/12/2006;13,18;1,00049143;0,00;0,00;0,00;0,00;0,00;0,00;
28/12/2006;13,19;1,00049178;0,00;0,00;0,00;0,00;0,00;0,00;
29/12/2006;13,19;1,00049178;0,00;0,00;0,00;0,00;0,00;0,00;
02/01/2007;13,19;1,00049178;0,00;0,00;0,00;0,00;0,00;0,00;
03/01/2007;13,18;1,00049143;0,00;0,00;0,00;0,00;0,00;0,00;
04/01/2007;13,19;1,00049178;0,00;0,00;0,00;0,00;0,00;0,00;
05/01/2007;13,19;1,00049178;0,00;0,00;0,00;0,00;0,00;0,00;
08/01/2007;13,19;1,00049178;0,00;0,00;0,00;0,00;0,00;0,00;
09/01/2007;13,19;1,00049178;0,00;0,00;0,00;0,00;0,00;0,00;
10/01/2007;13,19;1,00049178;0,00;0,00;0,00;0,00;0,00;0,00;
11/01/2007;13,19;1,00049178;0,00;0,00;0,00;0,00;0,00;0,00;
12/01/2007;13,18;1,00049143;0,00;0,00;0,00;0,00;0,00;0,00;
15/01/2007;13,19;1,00049178;0,00;0,00;0,00;0,00;0,00;0,00;
16/01/2007;13,19;1,00049178;0,00;0,00;0,00;0,00;0,00;0,00;
17/01/2007;13,19;1,00049178;0,00;0,00;0,00;0,00;0,00;0,00;
18/01/2007;13,19;1,00049178;0,00;0,00;0,00;0,00;0,00;0,00;
19/01/2007;13,19;1,00049178;0,00;0,00;0,00;0,00;0,00;0,00;
22/01/2007;13,19;1,00049178;0,00;0,00;0,00;0,00;0,00;0,00;
23/01/2007;13,19;1,00049178;0,00;0,00;0,00;0,00;0,00;0,00;
24/01/2007;13,18;1,00049143;0,00;0,00;0,00;0,00;0,00;0,00;
25/01/2007;12,94;1,00048300;0,00;0,00;0,00;0,00;0,00;0,00;
26/01/2007;12,92;1,00048230;0,00;0,00;0,00;0,00;0,00;0,00;
29/01/2007;12,93;1,00048265;0,00;0,00;0,00;0,00;0,00;0,00;
30/01/2007;12,93;1,00048265;0,00;0,00;0,00;0,00;0,00;0,00;
31/01/2007;12,93;1,00048265;0,00;0,00;0,00;0,00;0,00;0,00;
01/02/2007;12,93;1,00048265;0,00;0,00;0,00;0,00;0,00;0,00;
02/02/2007;12,93;1,00048265;0,00;0,00;0,00;0,00;0,00;0,00;
05/02/2007;12,93;1,00048265;0,00;0,00;0,00;0,00;0,00;0,00;
06/02/2007;12,93;1,00048265;0,00;0,00;0,00;0,00;0,00;0,00;
07/02/2007;12,93;1,00048265;0,00;0,00;0,00;0,00;0,00;0,00;
08/02/2007;12,93;1,00048265;0,00;0,00;0,00;0,00;0,00;0,00;
09/02/2007;12,93;1,00048265;0,00;0,00;0,00;0,00;0,00;0,00;
12/02/2007;12,93;1,00048265;0,00;0,00;0,00;0,00;0,00;0,00;
13/02/2007;12,93;1,00048265;0,00;0,00;0,00;0,00;0,00;0,00;
14/02/2007;12,93;1,00048265;0,00;0,00;0,00;0,00;0,00;0,00;
15/02/2007;12,93;1,00048265;0,00;0,00;0,00;0,00;0,00;0,00;
16/02/2007;12,94;1,00048300;0,00;0,00;0,00;0,00;0,00;0,00;
21/02/2007;12,94;1,00048300;0,00;0,00;0,00;0,00;0,00;0,00;
22/02/2007;12,94;1,00048300;0,00;0,00;0,00;0,00;0,00;0,00;
23/02/2007;12,94;1,00048300;0,00;0,00;0,00;0,00;0,00;0,00;
26/02/2007;12,93;1,00048265;0,00;0,00;0,00;0,00;0,00;0,00;
27/02/2007;12,93;1,00048265;0,00;0,00;0,00;0,00;0,00;0,00;
28/02/2007;12,93;1,00048265;0,00;0,00;0,00;0,00;0,00;0,00;
01/03/2007;12,93;1,00048265;0,00;0,00;0,00;0,00;0,00;0,00;
02/03/2007;12,93;1,00048265;0,00;0,00;0,00;0,00;0,00;0,00;
05/03/2007;12,93;1,00048265;0,00;0,00;0,00;0,00;0,00;0,00;
06/03/2007;12,93;1,00048265;0,00;0,00;0,00;0,00;0,00;0,00;
07/03/2007;12,93;1,00048265;0,00;0,00;0,00;0,00;0,00;0,00;
08/03/2007;12,69;1,00047420;0,00;0,00;0,00;0,00;0,00;0,00;
09/03/2007;12,69;1,00047420;0,00;0,00;0,00;0,00;0,00;0,00;
12/03/2007;12,69;1,00047420;0,00;0,00;0,00;0,00;0,00;0,00;
13/03/2007;12,68;1,00047385;0,00;0,00;0,00;0,00;0,00;0,00;
14/03/2007;12,68;1,00047385;0,00;0,00;0,00;0,00;0,00;0,00;
