Lista de indices Diarios da TaxaSelic;20060102;20131025;
Data;Taxa Anual;Fator Diário;Fator Acumulado;
31/01/2007;     12,93;          1,00048265;       1,1632285340816141;
01/02/2007;     12,93;          1,00048265;       1,1637899663335886;
02/02/2007;     12,93;          1,00048265;       1,1643516695608395;
05/02/2007;     12,93;          1,00048265;       1,1649136438941530;
06/02/2007;     12,93;          1,00048265;       1,1654758894643785;
07/02/2007;     12,93;          1,00048265;       1,1660384064024285;
08/02/2007;     12,93;          1,00048265;       1,1666011948392787;
09/02/2007;     12,93;          1,00048265;       1,1671642549059678;
12/02/2007;     12,93;          1,00048265;       1,1677275867335982;
13/02/2007;     12,93;          1,00048265;       1,1682911904533352;
14/02/2007;     12,93;          1,00048265;       1,1688550661964075;
15/02/2007;     12,93;          1,00048265;       1,1694192140941072;
16/02/2007;     12,94;          1,00048300;       1,1699840435745146;
21/02/2007;     12,94;          1,00048300;       1,1705491458675611;
22/02/2007;     12,94;          1,00048300;       1,1711145211050152;
23/02/2007;     12,94;          1,00048300;       1,1716801694187089;
26/02/2007;     12,93;          1,00048265;       1,1722456808524788;
27/02/2007;     12,93;          1,00048265;       1,1728114652303423;
28/02/2007;     12,93;          1,00048265;       1,1733775226840357;
01/03/2007;     12,93;          1,00048265;       1,1739438533453591;
02/03/2007;     12,93;          1,00048265;       1,1745104573461763;
05/03/2007;     12,93;          1,00048265;       1,1750773348184144;
06/03/2007;     12,93;          1,00048265;       1,1756444858940645;
07/03/2007;     12,93;          1,00048265;       1,1762119107051813;
08/03/2007;     12,69;          1,00047420;       1,1767696703932377;
09/03/2007;     12,69;          1,00047420;       1,1773276945709382;
12/03/2007;     12,69;          1,00047420;       1,1778859833637037;
13/03/2007;     12,68;          1,00047385;       1,1784441246369206;
14/03/2007;     12,68;          1,00047385;       1,1790025303853798;
15/03/2007;     12,68;          1,00047385;       1,1795612007344029;
16/03/2007;     12,68;          1,00047385;       1,1801201358093709;
19/03/2007;     12,68;          1,00047385;       1,1806793357357242;
20/03/2007;     12,68;          1,00047385;       1,1812388006389625;
21/03/2007;     12,68;          1,00047385;       1,1817985306446453;
22/03/2007;     12,68;          1,00047385;       1,1823585258783913;
23/03/2007;     12,68;          1,00047385;       1,1829187864658788;
26/03/2007;     12,68;          1,00047385;       1,1834793125328456;
27/03/2007;     12,68;          1,00047385;       1,1840401042050893;
28/03/2007;     12,68;          1,00047385;       1,1846011616084669;
29/03/2007;     12,68;          1,00047385;       1,1851624848688951;
30/03/2007;     12,68;          1,00047385;       1,1857240741123502;
02/04/2007;     12,68;          1,00047385;       1,1862859294648683;
03/04/2007;     12,68;          1,00047385;       1,1868480510525452;
04/04/2007;     12,68;          1,00047385;       1,1874104390015365;
05/04/2007;     12,69;          1,00047420;       1,1879735090317110;
09/04/2007;     12,68;          1,00047385;       1,1885364302789657;
10/04/2007;     12,68;          1,00047385;       1,1890996182664534;
11/04/2007;     12,68;          1,00047385;       1,1896630731205689;
12/04/2007;     12,68;          1,00047385;       1,1902267949677671;
13/04/2007;     12,68;          1,00047385;       1,1907907839345626;
16/04/2007;     12,68;          1,00047385;       1,1913550401475300;
17/04/2007;     12,67;          1,00047350;       1,1919191467590399;
18/04/2007;     12,67;          1,00047350;       1,1924835204750303;
19/04/2007;     12,43;          1,00046503;       1,1930380610865568;
20/04/2007;     12,43;          1,00046503;       1,1935928595761038;
23/04/2007;     12,43;          1,00046503;       1,1941479160635925;
24/04/2007;     12,43;          1,00046503;       1,1947032306689996;
